naslov,leto_izdaje,avtor,ocena,stevilo_ocen
Shadow and Bone,2012,Leigh Bardugo,4.07,27
Wrecking Ball,2019,Jeff Kinney,3.98,49
The Help,2009,Kathryn Stockett,4.34,89
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",2014,Bessel A. Van Der Kolk,3.83,24
Contact,1985,Carl Sagan,4.21,94
The Final Empire,2001,Brandon Sanderson,4.39,109
The Art of War,1953,Sun Tzu,3.83,24
Insomnia,1994,Stephen King,3.88,94
Heart of Darkness,1899,Joseph Conrad,3.46,108
The Magic of Thinking Big,1957,David Joseph Schwartz,4.43,23
The Adventures of Tom Sawyer,1817,Mark Twain,3.99,123
Outlander,1991,Diana Gabaldon,4.14,37
Love on the Brain,2022,Ali Hazelwood,4.58,12
I Know Why the Caged Bird Sings,1969,Maya Angelou,4.09,33
A Clockwork Orange,1962,Anthony Burgess,4.06,49
In Cold Blood,1709,Truman Capote,3.99,78
The Silver Eyes (Five Nights At Freddy&#39;s #1),2001,Scott Cawthon,4.69,58
The Games People Play,1975,Eric Berne,3.97,39
Because of Winn-Dixie,2000,Kate DiCamillo,4.23,90
The Long Haul,2000,Jeff Kinney,4.38,95
Thirteen reasons Why,2007,Jay Asher,3.66,73
The Two Towers,1954,J.R.R. Tolkien,4.36,193
The Strange Case of Dr. Jekyll and Mr. Hyde,1875,Robert Louis Stevenson,3.90,111
Howl&#39;s Moving Castle (Howl&#39;s Moving Castle #1),1986,Diana Wynne Jones,4.46,87
Ὀδύσσεια,1488,Όμηρος (Homer),4.02,126
Things We Never Got Over,2022,Collen hoover,4.29,17
Jurassic Park,1990,Michael Crichton,4.06,144
"Eragon: (The Inheritance Cycle Series, Book 1)",1998,Christopher Paolini,3.80,119
Call Me by Your Name,2007,André Aciman,3.98,59
Le Comte de Monte Cristo,1830,Alexandre Dumas,4.32,160
My Fault,2017,Mercedes Ron,4.00,17
Alice in Wonderland in Five Acts,1897,Lewis Carroll,4.03,65
Jane Eyre,1847,Charlotte Brontë,4.05,127
The Stand,1978,Stephen King,4.29,77
All the bright places,2015,Jennifer Niven,4.26,53
One Of Us Is Lying,2017,Karen M. McManus,4.19,27
the sun and her flowers,2017,Rupi Kaur,4.08,38
P.S. I Still Love You,2000,Jenny Han,4.06,53
The A.B.C. Murders,1936,Agatha Christie,4.08,48
Mockingjay,2010,Suzanne Collins,3.70,204
You Are a Badass,1792,Jen Sincero,3.95,19
Credence,2020,Penelope Douglas,4.85,13
Flowers for Algernon,1966,Daniel Keyes,4.26,76
Number the Stars,1901,Lois Lowry,4.18,91
Surrounded by Idiots,2019,Thomas Erikson,4.17,18
The War of the Worlds,1898,H. G. Wells,3.81,138
Gone Girl,2011,Gillian Flynn,3.64,50
The Courage To Be Disliked,2018,Ichiro Kishimi and Fumitake Koga,4.11,18
Green Eggs and Ham,1960,Dr. Seuss,4.03,128
The Getaway,2017,Jeff Kinney,4.62,52
The Battle of the Labyrinth,2005,Rick Riordan,4.44,90
&#39;Salem’s Lot,1975,Stephen King,4.10,71
The Silmarillion,1977,J.R.R. Tolkien,3.97,98
All He&#39;ll Ever Be,2019,W Winters,3.77,30
The 4-Hour Work Week,2006,Timothy Ferriss,3.69,68
Siddhartha,1922,Hermann Hesse,4.10,48
Leonardo,1946,Leonardo da Vinci,3.97,31
Born a Crime,2016,Trevor Noah,4.60,50
The House of Hades,2013,Rick Riordan,4.26,93
Where the Red Fern Grows,1961,Wilson Rawls,4.23,90
Dork Diaries: Tales From a Not-So-Fabulous Life,2009,Rachel Renée Russell,4.41,66
East of Eden,1952,John Steinbeck,4.01,78
Push,1996,Sapphire,3.67,15
"Brown Bear, Brown Bear, What Do You See?",1967,Bill Martin Jr.,4.08,53
The Invisible Life of Addie LaRue,2015,V. E. Schwab,4.02,44
Autobiography of a Yogi,1946,Yogananda Paramahansa,4.23,35
The Time Machine,1895,H. G. Wells,3.90,73
Women Who Love Too Much,1985,Robin Norwood,3.86,14
The Silver Eyes (Five Nights At Freddy&#39;s #1),2001,Scott Cawthon,4.69,58
The Gunslinger,1976,Stephen King,4.18,38
Drama,2012,Raina Telgemeier,4.41,61
Ego is the Enemy,2016,Ryan Holiday,3.62,29
Bumi,2014,Tere Liye,4.44,54
Eleanor &amp; Park,2012,Rainbow Rowell,4.10,58
Archer&#39;s Voice,2014,Mia Sheridan,3.60,30
The Last Olympian,2009,Rick Riordan,4.45,106
The Witches,1983,Roald Dahl,4.17,82
The Maddest Obsession,2019,Danielle Lori,4.10,30
Breakthrough advertising,1966,Eugene M. Schwartz,4.67,9
I Have to Tell You Something,2022,Zara Bas,3.73,48
Life of Pi,2001,Yann Martel,3.94,129
The Blood of Olympus,2001,Rick Riordan,4.40,87
The Phantom Tollbooth,1961,Norton Juster,4.12,97
"Guns, germs, and steel",1991,Jared Diamond,4.16,132
It&#39;s Not Summer Without You,2010,Jenny Han,4.19,26
The Secret Garden,1911,Frances Hodgson Burnett,4.05,61
The Deep End,2009,Jeff Kinney,4.68,41
Circe,2018,Madeline Miller,4.09,77
Преступление и наказание,1866,Фёдор Михайлович Достоевский,4.20,94
Anna Karenina,1876,Лев Толстой,4.16,37
New Moon,2006,Stephenie Meyer,4.14,59
Do Androids Dream of Electric Sheep?,1968,Philip K. Dick,4.04,142
The School for Good and Evil,2007,Soman Chainani,4.69,49
Quiet,2012,Susan Cain,4.10,80
Neuromancer,1984,William Gibson,4.01,70
As Good As Dead,2021,Holly Jackson,4.37,19
The Immortals of Meluha,2010,Amish Tripathi,3.71,31
Treasure Island,1880,Robert Louis Stevenson,3.74,74
Outliers,2008,Malcolm Gladwell,3.99,98
"Padre Rico, Padre Pobre",2003,Robert T. Kiyosaki,3.76,29
A Wizard of Earthsea,1968,Ursula K. Le Guin,3.99,109
The Meltdown,2011,Jeff Kinney,4.47,60
The Road,2006,Cormac McCarthy,3.86,132
Emotional Intelligence,1995,Daniel Goleman,4.32,28
The Way I Used To Be,2016,Amber Smith,3.95,21
Old School,1997,Jeff Kinney,4.51,85
Great Expectations,1861,Charles Dickens,3.70,131
A short history of nearly everything,2003,Bill Bryson,4.14,87
It didn&#39;t start with you,2016,Mark Wolynn,3.12,8
A Court of Wings and Ruin,2017,Sarah J. Maas,4.23,31
"Are You There God? It&#39;s Me, Margaret.",1970,Judy Blume,4.07,30
The Gruffalo,1999,Julia Donaldson,4.29,52
Inside Out &amp; Back Again,2011,Thanhha Lai,3.90,48
The Eye of the World (The Wheel of Time Book 1),1990,Robert Jordan,3.88,119
