naslov,leto_izdaje,avtor,ocena,stevilo_ocen
Start with why,2009,Simon Sinek,3.33,3
Physics for scientists and engineers,1990,Paul A. Tipler,4.40,15
Where the Sidewalk Ends: the poems &amp; drawings of Shel Silverstein.,1974,Shel Silverstein,4.06,81
Lessons in Chemistry,2022,Bonnie Garmus,3.60,5
Little House on the Prairie,1935,Laura Ingalls Wilder,4.43,14
Segunda Fundação,1953,Isaac Asimov,4.32,119
The Scorch Trials,2010,James Dashner,3.85,47
Forever,1957,Judy Blume,3.83,6
Needful Things,1900,Stephen King,4.05,19
The Throne of Fire,2011,Rick Riordan,4.62,39
Der Proceß,1925,Franz Kafka,4.21,48
The City of Ember (The First Book of Ember),1998,Jeanne DuPrau,3.98,50
Something Wicked This Way Comes,1962,Ray Bradbury,4.07,28
Dubliners,1914,James Joyce,3.84,73
Inqolobane yesizwe,1966,C. L. Sibusiso Nyembezi,4.48,21
Into Thin Air: A personal account of the Everest disaster,1997,Jon Krakauer,4.38,32
The six pillars of self-esteem,1994,Nathaniel Branden,4.82,11
"Everything, Everything",2015,Nicola Yoon,4.28,29
Monster,1999,Walter Dean Myers,3.94,18
Memoirs of Sherlock Holmes [11 stories],1893,Arthur Conan Doyle,4.44,16
Carmilla,1871,Joseph Sheridan Le Fanu,3.91,45
